street_adresse,postal_code,departement_name,telephone,id
2 Avenue Roger Roncier,19100,Brive la Gaillarde,05 55 22 38 78,1022
"72, rue Paul Claudel",87000,Limoges Sud,05 55 75 42 50,1019
"72, rue Paul Claudel",87000,Limoges Sud,05 55 75 42 50,1019
"72, rue Paul Claudel",87000,Limoges Sud,05 55 75 42 50,1019
"72, rue Paul Claudel",87000,Limoges Sud,05 55 75 42 50,1019
"72, rue Paul Claudel",87000,Limoges Sud,05 55 75 42 50,1019
"72, rue Paul Claudel",87000,Limoges Sud,05 55 75 42 50,1019
"72, rue Paul Claudel",87000,Limoges Sud,05 55 75 42 50,1019
"72, rue Paul Claudel",87000,Limoges Sud,05 55 75 42 50,1019
67 Boulevard du Havre ZAC La Patte d'Oie,95220,Herblay,01 30 40 30 15,1055
67 Boulevard du Havre ZAC La Patte d'Oie,95220,Herblay,01 30 40 30 15,1055
67 Boulevard du Havre ZAC La Patte d'Oie,95220,Herblay,01 30 40 30 15,1055
67 Boulevard du Havre ZAC La Patte d'Oie,95220,Herblay,01 30 40 30 15,1055
67 Boulevard du Havre ZAC La Patte d'Oie,95220,Herblay,01 30 40 30 15,1055
67 Boulevard du Havre ZAC La Patte d'Oie,95220,Herblay,01 30 40 30 15,1055
67 Boulevard du Havre ZAC La Patte d'Oie,95220,Herblay,01 30 40 30 15,1055
67 Boulevard du Havre ZAC La Patte d'Oie,95220,Herblay,01 30 40 30 15,1055
45 Avenue Louis de Broglie,87000,Limoges Nord,05.55.04.04.70,1053
45 Avenue Louis de Broglie,87000,Limoges Nord,05.55.04.04.70,1053
45 Avenue Louis de Broglie,87000,Limoges Nord,05.55.04.04.70,1053
45 Avenue Louis de Broglie,87000,Limoges Nord,05.55.04.04.70,1053
45 Avenue Louis de Broglie,87000,Limoges Nord,05.55.04.04.70,1053
45 Avenue Louis de Broglie,87000,Limoges Nord,05.55.04.04.70,1053
45 Avenue Louis de Broglie,87000,Limoges Nord,05.55.04.04.70,1053
45 Avenue Louis de Broglie,87000,Limoges Nord,05.55.04.04.70,1053
77 Rue Ferdinand de Lesseps,59130,Lambersart,03 28 03 61 00,1048
77 Rue Ferdinand de Lesseps,59130,Lambersart,03 28 03 61 00,1048
77 Rue Ferdinand de Lesseps,59130,Lambersart,03 28 03 61 00,1048
77 Rue Ferdinand de Lesseps,59130,Lambersart,03 28 03 61 00,1048
77 Rue Ferdinand de Lesseps,59130,Lambersart,03 28 03 61 00,1048
77 Rue Ferdinand de Lesseps,59130,Lambersart,03 28 03 61 00,1048
77 Rue Ferdinand de Lesseps,59130,Lambersart,03 28 03 61 00,1048
"Rue Ambroise Paré, ZI Bois Grenier",59930,La Chapelle d Armentières,03.20.10.54.90,1030
215 Route de Rennes - Le Cardo,44700,Orvault,02 51 82 74 06,1003
215 Route de Rennes - Le Cardo,44700,Orvault,02 51 82 74 06,1003
215 Route de Rennes - Le Cardo,44700,Orvault,02 51 82 74 06,1003
215 Route de Rennes - Le Cardo,44700,Orvault,02 51 82 74 06,1003
215 Route de Rennes - Le Cardo,44700,Orvault,02 51 82 74 06,1003
215 Route de Rennes - Le Cardo,44700,Orvault,02 51 82 74 06,1003
215 Route de Rennes - Le Cardo,44700,Orvault,02 51 82 74 06,1003
Avenue Jacques Duclos,37700,St Pierre des Corps,02 47 46 40 40,1008
1 rue du Bocage lieu-dit Rousseau,33270,Bouliac,05 57 95 03 45,1010
1 rue du Bocage lieu-dit Rousseau,33270,Bouliac,05 57 95 03 45,1010
1 rue du Bocage lieu-dit Rousseau,33270,Bouliac,05 57 95 03 45,1010
1 rue du Bocage lieu-dit Rousseau,33270,Bouliac,05 57 95 03 45,1010
1 rue du Bocage lieu-dit Rousseau,33270,Bouliac,05 57 95 03 45,1010
1 rue du Bocage lieu-dit Rousseau,33270,Bouliac,05 57 95 03 45,1010
1 rue du Bocage lieu-dit Rousseau,33270,Bouliac,05 57 95 03 45,1010
16 Avenue du Docteur GRYNFOGEL,31100,Toulouse Basso Cambo,05 62 12 08 60,1016
2 avenue des Crêtes,31520,Ramonville,05 61 28 37 16,1013
2 avenue des Crêtes,31520,Ramonville,05 61 28 37 16,1013
2 avenue des Crêtes,31520,Ramonville,05 61 28 37 16,1013
2 avenue des Crêtes,31520,Ramonville,05 61 28 37 16,1013
2 avenue des Crêtes,31520,Ramonville,05 61 28 37 16,1013
2 avenue des Crêtes,31520,Ramonville,05 61 28 37 16,1013
